"Bid";"Author";"Year";"Title corrected";"General category";"Keywords";"Typology";"Period";"Subjects"
"VIA0143823";"Giormani, Virgilio";2006;"Il conte Alvise Zenobio, 1757-1817 : un patrizio veneto tra agio e avventura";"history";"individuals";;"xviii; xix";"ZENOBIO, ALVISE; ZENOBIO, ALVISE; Zenobio, Alvise ; XVIII-XIX"
"VEA0696876";"Friedrichs, Cornelia";2006;"Francesco Guardi : Venezianische Feste und Zeremonien";"arts";"individuals; painting";;"xviii";"Guardi, Francesco; FESTE PUBBLICHE - Venezia <Repubblica> - Iconografia - Sec. 18.; CERIMONIE - Venezia <Repubblica> - Iconografia - Sec. 18.; Feste - Venezia(Repubblica); XVIIII"
"VEA0699544";"Busato, Davide";2006;"Metamorfosi di un litorale : origine e sviluppo dell'isola di Sant'Erasmo nella laguna di Venezia";"architecture";"lagoon";;"renaissance";"STORIA. VENEZIA; ISOLA DI SANT'ERASMO; SANT'ERASMO <Venezia> - Storia - Origini-Sec. 16.; Venezia - Isola di Sant'Erasmo - Storia; Sant'Erasmo - Storia"
"VIA0143607";"Neerfeld, Christiane";2006;"Historia per forma di diaria : la cronachistica veneziana contemporanea a cavallo tra il Quattro e il Cinquecento";"history";"literature";"primary";"renaissance";"CRONACHE - Venezia - Sec. 15.-16.; VENEZIA <REPUBBLICA> - Storia - Sec. 15.-16. - Fonti; STORIA - Fonti - Cronache - Sec. 15.-16.; Venezia(Repubblica) - Fonti ; XV-XVI"
"VEA0203443";"edites par Christian Del Vento et Xavier Tabet";2006;"Le mythe de Venise au 19. siecle : debats historiographiques et representations litteraires";"history";"myth";;"xix";"STORIA DEL VENETO. PERIODO DALLA FINE DEL TERZO CONFLITTO CON L'IMPERO OTTOMANO AL TRATTATO DI CAMPOFORMIO, 1718-1797; VENEZIA NELLA LETTERATURA - Sec. 19. - Congressi - Caen - 2004; VENEZIA - Storiografia - Sec. 19. - Congressi - Caen - 2004; VENEZIA NELLA LETTERATURA - Sec. 19.; CAEN - Congressi - 2004; Venezia - Storiografia - Sec. 19.; Venezia - Fortuna - Letteratura ; XIX"
"RAV1424684";"Ravegnani, Giorgio";2006;"Bisanzio e Venezia";"history";"politics";;"middle ages";"RELAZIONI INTERNAZIONALI. Italia nordorientale Veneto-Grecia; VENEZIA <REPUBBLICA> E IMPERO D'ORIENTE; RELAZIONI CON L'IMPERO D'ORIENTE"
"VEA0687112";"Cavanna, Anna Maria";2006;"La Pala di Marco di Martino nella Scuola Grande della Carita e la pittura a Venezia nella seconda meta del Trecento";"arts";"schools; painting";;"middle ages";"MARCO DI MARTINO - Pala d'altare - Venezia - Scuola Grande della Carita; PITTURA - Venezia - Sec. 14.; Arte - Venezia; XIV"
"UBO2909465";"Glixon, Beth L";2006;"Inventing the business of opera : the impresario and his world in seventeenth-century Venice";"history";"social; entertainment; economics";;"xvii";"OPERA. Venezia; OPERA IN MUSICA - Produzione - Venezia - Sec. 17.; MELODRAMMA - Sec. 17.; TEATRO - Venezia - Storia - Sec. 17.; Melodramma - Sec. 17.; Teatro - Venezia - Sec. 17; Musica - Venezia; XVII"
"VEA0203930";"Bartolini, Donatella";2006;"Medici e comunità : esempi dalla terraferma veneta dei secoli 16. e 17";"history";"social; health";;"renaissance; xvii";"PROBLEMI E SERVIZI DI ASSISTENZA SOCIALE. MALATTIE FISICHE. Italia nord-orientale Veneto; VENEZIA <REPUBBLICA> - Sanita pubblica - Sec. 16.-17.; MEDICI CONDOTTI - Veneto - Sec. 16.-17.; SANITA PUBBLICA - Sec. 16.-17.; MEDICI CONDOTTI - Veneto - Sec. 16.-17.; Medici - Veneto - Storia; Sanità pubblica - Veneto - Storia; Sanita' pubblica - Venezia(Repubblica); XVI-XVII"
"VEA0207312";"Goy, Richard J";2006;"Building Renaissance Venice : patrons, architects and builders, c. 1430-1500";"architecture";"urban";;"renaissance";"ARCHITETTURA - Venezia - Sec. 16.; Architettura - Venezia - Storia - Sec.15; Architettura - Venezia ; XV-XVI"
"VEA0693946";"Venise / sous la direction d'Alain Vircondelet , 3";2006;"Venise: art et architecture";"architecture";;;;"ARCHITETTURA; Architettura - Venezia; Architettura - Venezia"
"VEA0693943";"Venise / sous la direction d'Alain Vircondelet , 1";2006;"Venise: un art de vivre";"arts";"painting; culture";;;"VENEZIA - Vita artistica e culturale; VITA ARTISTICA E CULTURALE; Arte - Venezia"
"VEA0693945";"Venise / sous la direction d'Alain Vircondelet , 2";2006;"Venise et son histoire";"history";;;;"VENEZIA - Storia; STORIA; Venezia - Storia"
"VEA0743168";;2007;"Il collezionismo d'arte a Venezia";"arts";"collecting";;"xvii";"COLLEZIONISMO - Sec. 17.; COLLEZIONISMO - Venezia - Sec. 17.; Collezionismo - Venezia; XVII"
"VEA0708149";"Wolters, Wolfgang";2007;"Architettura e ornamento : la decorazione nel Rinascimento veneziano";"architecture";"crafts";;"renaissance";"Progettazione e decorazione di strutture architettoniche. Venezia.; ARCHITETTURA - Venezia - Sec. 15.-16.; DECORAZIONE ARCHITETTONICA - Venezia - Sec. 15.-16.; DECORAZIONE ARCHITETTONICA; Decorazione architettonica - Venezia - Sec. 16.; Venezia - Edifici - Decorazione - Sec. 16; Architettura - Venezia ; XV-XVI"
"RML0169062";"Antoniutti, Arianna";2007;"I Bregno a Venezia : Antonio e Paolo Bregno e la scultura a Venezia nel primo Quattrocento";"arts";"crafts; individuals";;"renaissance";"BREGNO, ANTONIO; BREGNO, PAOLO; SCULTURA - Venezia - Sec. 15.; SCULTURA - Sec. 15.; Scultura - Venezia ; XV"
"PUV1097055";"Borsari, Silvano";2007;"L'Eubea veneziana";"history";"empire";;"middle ages";"Venezia (Repubblica) - Annessioni territoriali - Eubea - Sec. 14.; Grecia - Dominazione [di] Venezia"
"VEA0699049";"a cura di] Barbara Vanin, Paolo Eleuteri";2007;"Le mariegole della biblioteca del Museo Correr";"history";"guilds";"tool";"middle ages; renaissance; xvii; xviii";"VENEZIA - Museo Correr - Biblioteca - Cataloghi; MANOSCRITTI - Sec. 14.-18. - Venezia - Museo Correr - Biblioteca; MARIEGOLE - Museo Correr - Cataloghi; MARIEGOLE - Sec. 14.-18. - Venezia - Museo Correr - Biblioteca"
"NAP0381946";"Scarton, Elisabetta";2007;"Giovanni Lanfredini : uomo d'affari e diplomatico nell'Italia del Quattrocento";"history";"individuals";;"renaissance";"LANFREDINI, GIOVANNI; FIRENZE E VENEZIA - Relazioni economiche e commerciali - Sec. 15.; FIRENZE <STATO> - Relazioni diplomatiche - Sec. 15.; Economia - Venezia; XV"
"VEA0726900";"Renier, Paolo";2007;"Il doge Renier e la Venezia del '700";"history";"individuals";;"xviii";"VENEZIA <REPUBBLICA> - Storia - Sec. 18.; RENIER, PAOLO <1710-1789>; RENIER, PAOLO <1710-1789>; Renier, Paolo; Renier, Paolo ; XVIII"
"TO01639942";"Ruspio, Federica";2007;"La nazione portoghese : ebrei ponentini e nuovi cristiani a Venezia";"history";"jews";;"renaissance";"Ebrei - Venezia - Sec. 14.-18.; Ebrei portoghesi - Venezia <Repubblica> - Sec. 15.-16."
"PUV1097638";"Mathieu, Christian";2007;"Inselstadt Venedig : Umweltgeschichte eines Mythos in der Fruhen Neuzeit";"architecture";"lagoon";;"renaissance; xvii; xviii; xix; recent";"Laguna di Venezia - Difesa idrogeologica - Sec. 16.-21.; Biblioteca nazionale Marciana - Ms. It. IV, 51 - Citazione bibliografica; Biblioteca nazionale Marciana - Ms. It. IV, 164 - Citazione bibliografica; Laguna di Venezia - Difesa idrogeologica - Studio; Urbanistica - Venezia"
"VEA0744293";"Rosada, Bruno";2007;"Il Settecento veneziano : la letteratura";"history";"literature";;"xviii";"VENEZIA - Cultura - Sec. 18.; LETTERATURA ITALIANA - Autori veneziani - Sec. 18.; Letteratura italiana - Autori veneti - Sec.15.-18.; Letteratura - Venezia; XVIII"
"LO11124880";"Ferguson, Ronnie";2007;"A linguistic history of Venice";"history";"literature";;;"LINGUA ITALIANA. VARIANTI GEOGRAFICHE. Italia nord-orientale; DIALETTO; DIALETTI VENETI - Venezia - Storia; Venezia - dialetto - storia"
"PUV1091206";"Pigozzo, Federico";2007;"Treviso e Venezia nel Trecento : la prima dominazione veneziana sulle podesterie minori (1339-1381)";"history";"mainland";;"middle ages";"TERRAFERMA - Governo; VENEZIA <REPUBBLICA> E TREVISO - 1339-1381; TREVISO - Dominazione veneziana - 1339-1381; Venezia <Repubblica> - Storia - 1339-1381; Venezia(Repubblica) - Storia; XIV"
"VEA0728175";"Brieu-Galaup, Florence";2007;"Venise, un refuge romantique (1830-1848";"history";"myth; literature";;"xix";"SAND, GEORGE; VENEZIA - 1830-1848 - Descrizioni e viaggi; DESCRIZIONI E VIAGGI - 1830-1848; VIAGGIATORI FRANCESI - Venezia - 1830-1848; MUSSET, ALFRED DE; Letteratura francese - Sec. 19. - Temi e motivi; Viaggiatori francesi - Venezia"
"VEA0734849";"Pitteri, Mauro";2007;"Per una confinazione equa e giusta : Andrea Tron e la politica dei confini della Repubblica di Venezia nel '700";"history";"politics";;"xviii";"TRON, ANDREA; TRON, ANDREA; VENEZIA <REPUBBLICA> - Confini - Sec. 18.; CONFINI - Sec. 18.; Tron, Andrea <(1712-1785)>; Confini - Venezia(Repubblica) ; XVIII"
"VEA0740277";"Marzia Amendola ... [et al.";2007;"Il liceo convitto S. Caterina (storia del liceo M. Foscarini dal 1807 al 1866";"history";"social";;"xix";"LICEO MARCO FOSCARINI; VENEZIA - Liceo convitto Marco Foscarini - Storia - 1807-1866; Istruzione - Venezia - Storia ; XIX"
"VEA0757050";"Moretti-Maqua, Celine";2007;"L'apogee du masque au 18. siecle ou la Serenissime masquee";"history";"social; entertainment";;"xviii";"MASCHERE - Sec. 18.; MASCHERE - Venezia - Sec. 18.; GOLDONI, CARLO - Opere - Personaggi - Maschere; Venezia - usi e costumi; XVIII"
"BVE0437716";"Diehl, Charles";2007;"La Repubblica di Venezia : la storia secolare di questa città straordinaria, le circostanze che la resero grande e le cause che ne provocarono la decadenza";"history";;;;"VENEZIA <REPUBBLICA> - Storia; STORIA"
"VEA0981654";"a cura di Claudio Spagnol";2008;"La chiesa dei Santi Cosma e Damiano a Venezia : un tempio benedettino ""ritrovato"" alla Giudecca";"architecture";"churches";;;"Chiesa dei Santi Cosma e Damiano <Venezia>; CHIESA DEI SANTI COSMA E DAMIANO; Venezia - Chiesa dei Santi Cosma e Damiano - Restauro; Chiese - Venezia"
"VIA0168736";"Onda, Silvano";2008;"La Chiesa di San Francesco della Vigna e il Convento dei frati minori : storia, arte, architettura";"architecture";"churches; arts; religion";;;"VENEZIA - Chiesa di San Francesco della Vigna; SANSOVINO, JACOPO - Venezia - Chiesa di San Francesco della Vigna - Progetto; VENEZIA - Convento di San Francesco della Vigna; Chiese - Venezia - Storia"
"VEA0984172";;2008;"Il collezionismo d'arte a Venezia";"arts";"collecting";;"renaissance";"ARTE - Collezionismo - Venezia - Sec. 15.-16.; COLLEZIONISMO - Venezia - Sec. 15.-16.; COLLEZIONISMO - Sec. 15.-16.; Collezionismo - Venezia - Sec. 14.-16.; Collezionismo - Venezia ;"
"RML0179179";"Judde de Lariviere, Claire";2008;"Naviguer, commercer, gouverner : économie maritime et pouvoirs à Venise";"history";"economics; maritime; government";;"renaissance";"TRASPORTI MARITTIMI. Venezia. 1400-1499; COMMERCIO MARITTIMO - Venezia <Repubblica> - Sec. 15.-16.; MARINA MERCANTILE VENETA - Sec. 15.-16.; COMMERCIO MARITTIMO - Sec. 15.-16.; MARINA MERCANTILE - Sec. 15.-16.; Venezia <Repubblica> - Commercio marittimo - Sec. 15.-16.; Commercio - Venezia(Repubblica) ; XV-XVI"
"VEA0775619";"Stahl, Alan M";2008;"Zecca : la Zecca di Venezia nell'età medioevale";"history";"economics; public finance";;"middle ages";"MONETE DI PAESI SPECIFICI. Venezia; ZECCA; MONETE - Venezia <Repubblica> - Sec. 9.-15.; ZECCHE - Venezia - Sec. 12.-15.; Moneta - Venezia <Repubblica> - Sec. 12.-15.; Zecche - Venezia <Repubblica> - Sec. 12.-15.; Moneta - Venezia; X-XVI"
"IEI0288314";"testo storico di Tiziana Plebani";2008;"Storia di Venezia città delle donne : guida ai tempi, luoghi e presenze femminili";"history";"gender";;;"DONNE. Ruolo sociale e condizione. Venezia.; DONNE - Venezia - Storia; DONNE - Storia"
"UFI0532246";"Barbacetto, Stefano";2008;"""La più gelosa delle pubbliche regalie"" : i ""beni communali"" della Repubblica veneta tra dominio della signoria e diritti delle comunità (secoli 15.-18.)";"history";"government";;"renaissance; xvii; xviii";"Storia. Venezia; Demanio - Venezia <Repubblica> - Sec. 15.-18.; Biblioteca nazionale Marciana - Ms. It. VII, 963 - Citazione bibliografica; Proprieta collettiva - Sec. 15.-18.; Venezia <Repubblica> - Politica e governo - Sec. 15; Politica - Venezia(Repubblica); XV-XVIII"
"VIA0167914";"Francescon, Marco";2008;"La dedizione di Treviso a Venezia : un matrimonio voluto da Dio";"history";"mainland";"primary";"middle ages";"VENEZIA <REPUBBLICA> E TREVISO - 1344 - Storia - Fonti archivistiche; Venezia (Repubblica) e Treviso - Storia - Fonti archivistiche - 1344; Venezia(Repubblica) - Rapporti [con] Treviso - Fonti"
"VEA1002935";1;2008;"Le schede dei manoscritti medievali e umanistici del fondo E. A. Cicogna";"history";"books";"tool";"middle ages; renaissance";"Venezia - Museo Correr - cataloghi"
"TO01665097";"Paladini, Filippo Maria";2008;"Arsenale e Museo Storico Navale di Venezia : mare, lavoro e uso pubblico della storia";"history";"maritime; industry";;;"VENEZIA - Arsenale - Storia; Venezia - Museo Storico navale; Costruzioni navali - Italia - Storia; Musei - Venezia"
"VEA0985674";"a cura di Antonio Tommaseo Ponzetta ... [et al.";2008;"La Pieta a Venezia : arte, musica e cura dell'infanzia fra tradizione e innovazione";"history";"music; arts";;;"VENEZIA - Chiesa di Santa Maria della Pieta; CHIESA DI SANTA MARIA DELLA PIETA; VENEZIA - Istituto della Pieta - Storia; ISTITUTO DELLA PIETA; Venezia - Attività assistenziali - Storia; Storia sociale - Venezia"
"VIA0166318";"Moretti, Laura";2008;"Dagli Incurabili alla Pietà : le chiese degli Ospedali Grandi di Venezia tra architettura e musica (1522-1790";"architecture";"music; churches";;"renaissance; xvii; xviii";"Musica. Storia, geografia, persone. Venezia; VENEZIA - Ospedali - Chiese - Sec. 16.-18.; VENEZIA - Chiese - Sec. 16.-18.; Venezia - Chiese - Sec. 16.-18.; Chiese - Venezia; XVI-XVIII"
"VEA0981765";"a cura di Annalisa Bristot";2008;"Palazzo Grimani a Santa Maria Formosa : storia, arte, restauri";"architecture";"palaces; arts";;;"ARCHITETTURA DI PALAZZI. Venezia; PALAZZO GRIMANI <SANTA MARIA FORMOSA>; VENEZIA - Palazzo Grimani <Santa Maria Formosa> - Restauro; Venezia - Palazzo Grimani; Palazzo Grimani - Venezia - Restauri; Architettura - Venezia"
"VEA0762586";"Horodowich, Elizabeth";2008;"Language and statecraft in early modern Venice";"history";"politics";;"renaissance; xvii";"POLITICA - Linguaggio - Venezia - Sec. 16.; VENEZIA - Usi e costumi - Sec. 16.; LINGUA - Sec. 16.; Venezia <Repubblica> - Vita sociale - Sec. 15.; Linguaggio - Politica - Venezia ; XV-XVI"
"PUV1118926";"Cicogna, Emmanuele Antonio";2008;"Diario veneto politico di Emmanuele Antonio Cicogna";"history";"politics";"primary";"xix";"VENEZIA - Storia - 1848-1849; STORIA - 1848-1849; Repubblica veneta <1848-1849>>"
"VEA0778693";"Tonizzi, Fabio";2008;"Democrazia e religione a Venezia : il patriarca Giovanelli e il suo clero negli anni dell'incertezza (1793-1800";"history";"politics; religion";;"xviii";"GIOVANNELLI, FEDERICO MARIA <PATRIARCA DI VENEZIA>; GIOVANNELLI, FEDERICO MARIA <PATRIARCA DI VENEZIA>; Chiesa e Stato - Venezia - 1793-1800; Storia ecclesiastica - Venezia; XIX"
"PUV1139586";"Bellavitis, Anna";2008;"Famille, genre, transmission à Venise au 16. siècle";"history";"social; family; gender";;"renaissance";"Cultura e istituzioni. La famiglia. Venezia; FAMIGLIA - Diritto - Venezia - Sec. 16.; DOTE - Venezia - Sec. 16.; SUCCESSIONE TESTAMENTARIA - Venezia - Sec. 16.; Famiglia - Sec. 16.; Famiglia - Aspetti sociali - Venezia - Sec. 16.; Storia sociale - Venezia; XVI"
"MIL0745889";"Ioly Zorattini, Pietro";2008;"I nomi degli altri : conversioni a Venezia e nel Friuli Veneto in età moderna";"history";"social; religion";;"renaissance; xvii";"CONVERSIONE DA UNA RELIGIONE NON CRISTIANA AL CRISTIANESIMO. Italia nord orientale; EBREI - Conversione al cristianesimo - Venezia; EBREI - Conversione al cristianesimo - Friuli; MUSULMANI - Conversione al cristianesimo - Friuli; CATECUMENI; Ebrei - Conversioni al Cristianesimo - Venezia; Ebrei - Conversioni al Cristianesimo - Friuli; Minoranze religiose - Venezia;"
"VEA0789718";"a cura di Franco Posocco e Salvatore Settis";2008;"La Scuola Grande di San Rocco a Venezia";"architecture";"social; schools";;;"Gallerie, musei, collezioni private di belle arti e arti decorative. Venezia.; SCUOLA DI SAN ROCCO; VENEZIA - Scuola Grande di San Rocco"
"VEA0775111";"Sanudo, Marino";2008;"Venice: cita excelentissima : selections from the Renaissance diaries of Marin Sanudo";"history";"literature";"primary";"renaissance";"STORIA - Sec. 16. - Fonti; VENEZIA <REPUBBLICA> - Storia - Sec. 16. - Fonti; Storia - Venezia - Fonti"
"VEA0997887";"a cura di Gianmario Guidarelli";2009;"La Chiesa di San Salvador: storia arte teologia : atti del Convegno pluridisciplinare nel cinquecentenario della fabbrica";"architecture";"churches; arts; religion";;;"CHIESA DI SAN SALVADOR; VENEZIA - Chiesa di San Salvador; VENEZIA - Congressi - 2007; VENEZIA - Chiesa di San Salvador - Congressi - Venezia - 2007; Chiesa San Salvador - Venezia; Chiese - Venezia"
"RAV1874761";;2009;"Il collezionismo d'arte a Venezia";"arts";"collecting";;"xviii";"COLLEZIONISMO - Venezia - Sec. 18.; Collezionismo - Sec. 18.; Collezionismo - Venezia; XVIII"
"VEA1002010";"Vianello, Amelia";2009;"Gli archivi del Consiglio dei Dieci : memoria e istanze di riforma nel secondo Settecento veneziano";"history";"government";"primary";"xviii";"Storia. Veneto. 1516-1797; CONSIGLIO DEI DIECI; VENEZIA <REPUBBLICA> - Magistrature - Fonti archivistiche; VENEZIA <REPUBBLICA> - Consiglio dei Dieci - Archivio - 1750-1800; Venezia <Repubblica> - Consiglio dei Dieci - Archivi; Archivi storici - Venezia ; XVIII"
"BVE0519196";"Hewison, Robert";2009;"Ruskin on Venice : ""The Paradise of Cities";"arts";"individuals";;"xix";"PITTURA. ISOLE BRITANNICHE INGHILTERRA; RUSKIN, JOHN; Ruskin, John - Venezia; Ruskin, John - Venezia"
"PIS0035097";"Giacon, Maria Rosa";2009;"I voli dell'arcangelo : studi su d'Annunzio, Venezia ed altro";"history";"literature";;"recent";"D'ANNUNZIO, GABRIELE - Venezia; D'Annunzio, Gabriele <1863-1938> - Venezia; D'ANNUNZIO, GABRIELE; Letteratura - Venezia; XX"
"PUV1165971";"Candiani, Guido";2009;"I vascelli della Serenissima : guerra, politica e costruzioni navali a Venezia in età moderna, 1650-1720";"history";"maritime; war; politics";;"xvii";"STORIA DI VENEZIA. 1607-1718; MARINA MILITARE - Venezia <Repubblica> - 1650-1720; VENEZIA <REPUBBLICA> - Storia militare - 1650-1720; Marina militare - 1650-1720; Venezia - Storia - 1650-1720; Navi da guerra - Venezia - 1650-1720; Venezia - Storia militare ; XVII-XVIII"
"VEA1007649";"Favilla, Massimo";2009;"Venezia barocca : splendori e illusioni di un mondo in «decadenza»";"arts";"painting";;"xvii";"BELLE ARTI E ARTI DECORATIVE. Venezia; PITTURA - Sec. 17.; VENEZIA - Vita artistica e culturale - Sec. 17.; SCULTURA BAROCCA - Venezia; PITTURA BAROCCA - Venezia; SCULTURA - Sec. 17.; Venezia - Architettura; Venezia - Pittura; Arte - Venezia; XVII"
"PUV1158259";"Venezia";2009;"Il patto con Geoffroy de Villehardouin per il Peloponneso 1209";"history";"politics";;"middle ages";"Venezia <Repubblica> - Relazioni con la Grecia - 1209; Biblioteca nazionale Marciana - Ms. It. VII, 2034 - Citazione bibliografica; Biblioteca nazionale Marciana - Ms. Lat. X, 10 - Citazione bibliografica; Biblioteca nazionale Marciana - Ms. It. II, 40 - Citazione bibliografica; Biblioteca nazionale Marciana - Ms. It. XI, 124 - Citazione bibliografica; Biblioteca nazionale Marciana - Ms. It. VII, 30 - Citazione bibliografica; Biblioteca nazionale Marciana - Ms. Lat. X, 36a - Citazione bibliografica; Venezia <Repubblica> - Trattati - 1209; trattati - Venezia; XIII"
"VEA1003065";"Delorenzi, Paolo";2009;"La galleria di Minerva : il ritratto di rappresentanza nella Venezia del Settecento";"arts";"painting";;"xviii";"FIGURE UMANE NELLA PITTURA. Venezia; RITRATTI - Venezia - Sec. 18.; Pittura - Venezia - Ritratti; Venezia - Pittura - 1700-1800; Arte - Venezia; XVIII"
"PUV1167545";"Severi, Luigi";2009;"Sitibondo nel stampar de' libri : Niccolò Zoppino tra libro volgare, letteratura cortigiana e questione della lingua";"history";"books; literature";;"renaissance";"EDITORIA - Venezia - Sec. 16.; Zoppino, Niccolo - Edizioni; Editoria - Venezia; XVI"
"PUV1158266";"Peratoner, Alberto";2009;"Storia dello Studio teologico Laurentianum di Venezia nella strategia della formazione teologica della Provincia veneta dei Cappuccini";"history";"religion; culture";;"renaissance; xvii; xviii; xix; recent";"CAPPUCCINI - Veneto; Teologia - Studi - Veneto - Sec. 16.-21.; Cappuccini - Studio teologico Laurentianum - Venezia; Teologia - Studi - Veneto - Sec. 16.-21; Storia ecclesiastica - Venezia"
"VIA0181327";"Di Giovanni, Anna";2009;"Giudecca Ottocento : le trasformazioni di un'isola nella prima eta industriale";"architecture";"urban";;"xix";"Venezia - Giudecca - Storia - Sec. 19.; Venezia - Giudecca - Sistemazione urbanistica - Sec. 19.; Giudecca - Sec. 19.; Venezia - Isola della Giudecca - Storia; Isole - Venezia - Storia ; XIX"
"VIA0183458";"Crivellari Bizio, Marina";2009;"Campi veneziani";"architecture";"urban";;;"Urbanistica - Venezia; Venezia - Campi"
"VEA1000506";"Rossetto, Tania";2009;"La laguna di Venezia : idea e immagine";"arts";"urban; lagoon";;;"LAGUNA; LAGUNA DI VENEZIA - Iconografia; CARTOGRAFIA - Laguna di Venezia; Territorio - Venezia"
"PUV1162053";"Simonetti, Remy";2009;"Da Padova a Venezia nel medioevo : terre mobili, confini, conflitti";"history";"urban; mainland";;"middle ages";"STORIA DELL'ITALIA NORD-ORIENTALE; Padova <territorio> - Storia - Origine-Sec.14.; Venezia <territorio> - Storia - Origine-Sec.14.; Padova - Storia - Medioevo; Venezia - Storia - Medioevo"
"LO11250262";"Centro studi storici della Geradadda";2009;"La rotta di Ghiaradadda : Agnadello, 14 maggio 1509";"history";"war; politics";;"renaissance";"STORIA. NORD OVEST DELLA PROVINCIA DI CREMONA; Battaglia di Agnadello <1509>; Storia militare - Venezia(Repubblica) ; XVI"
"PUV1148126";"Meschini, Marco";2009;"La battaglia di Agnadello : Ghiaradadda, 14 maggio 1509";"history";"war; politics";;"renaissance";"STORIA. NORD OVEST DELLA PROVINCIA DI CREMONA. SECONDO PERIODO DELLA DINASTIA DEGLI SFORZA, 1494-1535; Venezia <Repubblica> - Storia - 1509; Battaglia di Agnadello. 1509; Storia militare - Venezia(Repubblica) ; XVI"
"RMS2159033";"a cura di Gionata Tasini";2009;"Le carte monselicensi del Monastero di S. Zaccaria di Venezia (1183-1256";"history";"churches";"primary";"renaissance";"MONASTERO DI SAN ZACCARIA - Sec. 12.-13.; BENI ECCLESIASTICI - Monselice - Sec. 12.-13. - Fonti archivistiche; PROPRIETA FONDIARIA - Monselice - Sec. 12.-13. - Fonti archivistiche; VENEZIA - Monastero di San Zaccaria - Patrimonio - 1183-1256 - Documenti; Venezia - Monastero di S. Zaccaria - Fonti documentarie; Storia - Venezia - Fonti ; XII-XIII"
"VEA1021303";"a cura di Bernard Aikema, Emanuela Zucchetta";2010;"La facciata della chiesa di San Zaccaria a Venezia : percorsi di storia e conservazione";"architecture";"churches";;;"VENEZIA - Chiesa di San Zaccaria - Facciata; Architettura - Venezia"
"TO01799404";"Boccato, Alessandra";2010;"Chiese di Venezia";"architecture";"churches";;;"Chiese - Venezia; Chiese - Venezia"
"CFI0765455";"Borrelli, Antonio";2010;"La repubblica della salute : storia delle epidemie che hanno colpito la città di Venezia in età moderna";"history";"health";;"renaissance; xvii; xviii";"Epidemie - Venezia - Sec. 16.-18.; Sanita' pubblica - Venezia"
"URB0882934";"Holderness, Graham";2010;"Shakespeare and Venice";"history";"literature";;;"Shakespeare, William . The merchant of Venice; Shakespeare, William . The Tragedy of Othello, the Moor of Venice; Venezia - Letteratura inglese"
"VIA0194005";"a cura di Mario Bulgarelli";2010;"Il feudo di Zelarino 1331-1858 : materiali dell'archivio Foscari-San Simeon confluito nell'archivio Gradenigo-Rio Marin";"history";"mainland";"primary";"middle ages; renaissance; xvii; xviii; xix";"STORIA. VENEZIA; FOSCARI <FAMIGLIA> - Patrimonio - Zelarino - Sec. 14.-19.; Foscari <famiglia> - Patrimonio - Sec. 14.-19.; Zelarino - Feudo - 1331-1858; Zelarino <Venezia> - 1331-1858 - Fonti archivistiche; Foscari <famiglia> - Sec. 14.-19."
"TO01797276";"Bowd, Stephen D";2010;"Venice's most loyal city : civic identity in Renaissance Brescia";"history";"mainland";;"renaissance";"STORIA DI BRESCIA. 1494-1535; VENEZIA <REPUBBLICA> - Storia - Sec. 15.-16.; Brescia - Storia - Sec. 15.-16.; Governo - Venezia(Repubblica); XV-XVI"
"VEA1013868";"Poppi, Mario";2010;"Dolo 1406-1581 : territorio, popolazione, attivita economiche alle origini di una comunita";"history";"mainland";"primary";"renaissance";"; Dolo - Storia - 1406-1581 - Fonti; Dolo - Storia"
"PUV1309331";"Frohlich, Martin";2010;"Mysterium Venedig : die Markusrepublik als politisches Argument in der Neuzeit";"history";"politics";;"renaissance; xvii; xviii";"STORIA DELL'ITALIA NORD-ORIENTALE; Venezia <repubblica> - Politica e governo - Sec. 15.-18.; Politica - Venezia(Repubblica); XV-XVIII"
"VEA1023289";"Del Torre, Giuseppe";2010;"Patrizi e cardinali : Venezia e le istituzioni ecclesiastiche nella prima eta moderna";"history";"religion; government";;"renaissance; xvii";"Venezia <Repubblica> - Politica ecclesiastica - Sec. 16.-17.; Venezia <Repubblica> - Storia - Sec. 15."
"UBO3818031";"Mueller, Reinhold C";2010;"Immigrazione e cittadinanza nella Venezia medievale";"history";"social";"primary";"middle ages";"CITTADINANZA E SOGGETTI CONNESSI. Immigrati. Venezia; Venezia <Repubblica> - Cittadinanza - Medioevo; Immigrati - Cittadinanza - Riconoscimento - Venezia <Repubblica> - Sec. 12.-15. - Fonti archivistiche; Societa' - Venezia - Storia ; XII-XVI"
"VEA1019883";"Orlando, Ermanno";2010;"Sposarsi nel Medioevo : percorsi coniugali tra Venezia, mare e continente";"history";"social";;"middle ages";"Matrimonio. Venezia; Matrimonio - Venezia <Repubblica> - Sec. 13.-15.; Matrimonio - Medioevo - Storia; Storia sociale - Venezia; XIII-XV"
"UBO3842599";"Cristellon, Cecilia";2010;"La carità e l'eros : il matrimonio, la Chiesa, i suoi giudici nella Venezia del Rinascimento, 1420-1545";"history";"social; religion";;"renaissance";"ECCLESIOLOGIA. DIRITTO E DISCIPLINA DELLA CHIESA; Matrimonio - Processi - Venezia <Diocesi> - 1420-1545; Matrimonio canonico - Venezia <Diocesi> - 1420-1545; Tribunali ecclesiastici - Venezia <Diocesi> - 1420-1545; Diritto canonico - Venezia; XV-XVI;"
